State,PC No,PC Name,No Of AC Segments,PS,Total Electors,Avg. No. of Electors Per PS,Nominations,Contestants,FD,Total Voters,VTR (%)
Punjab,4,Jalandhar,9,1951,1655868,849,27,20,17,989316,59.75
Punjab,5,Hoshiarpur,9,1963,1618186,824,23,16,13,949116,58.65
Punjab,6,Anandpur Sahib,9,2068,1740606,842,41,28,25,1077450,61.9
Punjab,7,Ludhiana,9,1843,1760756,955,57,43,40,1059678,60.18
Punjab,8,Fatehgarh Sahib,9,1821,1557201,855,23,14,12,974566,62.58
Punjab,9,Faridkot,9,1688,1599861,948,34,28,26,1014543,63.41
Punjab,10,Firozpur,9,1903,1674979,880,41,29,25,1127376,67.31
Punjab,11,Bathinda,9,1814,1659163,915,30,18,15,1151720,69.42
Punjab,12,Sangrur,9,1765,1563808,886,38,23,20,1010706,64.63
Punjab,13,Patiala,9,2082,1811580,870,34,26,23,1152252,63.6
Punjab,State-Total,State-Total,117,24451,21567196,882,466,328,289,13542849,62.79
Rajasthan,1,GANGANAGAR,8,2016,2103968,1044,9,9,7,1414310,67.22
Rajasthan,2,BIKANER,8,1929,2050748,1063,9,9,7,1119372,54.58
Rajasthan,3,CHURU,8,2129,2222213,1044,16,13,11,1426598,64.2
Rajasthan,4,JHUNJHUNU,8,1997,2097732,1050,10,8,6,1125116,53.63
Rajasthan,5,SIKAR,8,2088,2232334,1069,16,14,12,1304337,58.43
Rajasthan,6,JAIPUR RURAL,8,2128,2194555,1031,17,15,13,1265588,57.67
Rajasthan,7,JAIPUR,8,2085,2288793,1098,16,13,11,1465000,64.01
Rajasthan,8,ALWAR,8,2024,2075093,1025,10,9,7,1256821,60.57
Rajasthan,9,BHARATPUR,8,2024,2124971,1050,6,6,4,1136014,53.46
Rajasthan,10,KARAULI-DHOLPUR,8,1975,1980182,1003,4,4,2,990998,50.05
Rajasthan,11,DAUSA,8,1965,1903520,969,8,5,3,1074532,56.45
Rajasthan,12,TONK-SAWAI MADHOPUR,8,2118,2150616,1015,16,11,9,1228602,57.13
Rajasthan,13,AJMER,8,1970,1999399,1015,17,14,12,1202835,60.16
Rajasthan,14,NAGAUR,8,2010,2155502,1072,10,9,7,1241279,57.59
Rajasthan,15,PALI,8,2267,2348274,1036,17,13,11,1355574,57.73
Rajasthan,16,JODHPUR,8,2134,2138241,1002,18,15,13,1385918,64.82
Rajasthan,17,BARMER,8,2641,2208630,836,20,11,8,1689138,76.48
Rajasthan,18,JALORE,8,2176,2297692,1056,29,12,10,1451531,63.17
Rajasthan,19,UDAIPUR,8,2264,2231240,986,8,8,6,1499074,67.19
Rajasthan,20,BANSWARA,8,2201,2200607,1000,8,8,6,1637022,74.39
Rajasthan,21,CHITTORGARH,8,2326,2170738,933,22,18,16,1499596,69.08
Rajasthan,22,RAJSAMAND,8,2125,2064478,972,13,10,8,1214423,58.82
Rajasthan,23,BHILWARA,8,2221,2148657,967,16,10,8,1305144,60.74
Rajasthan,24,KOTA,8,2128,2088853,982,25,15,13,1500959,71.86
Rajasthan,25,JHALAWAR-BARAN,8,2187,2030974,929,7,7,5,1422157,70.02
Rajasthan,State-Total,State-Total,200,53128,53508010,1007,347,266,215,33211938,62.07
Sikkim,1,Sikkim,31,573,466643,814,14,14,11,388507,83.26
Sikkim,State-Total,State-Total,31,573,466643,814,14,14,11,388507,83.26
Tamil Nadu,1,TIRUVALLUR,6,2256,2086686,925,25,14,13,1435130,68.78
Tamil Nadu,2,CHENNAI NORTH,6,1458,1496459,1026,54,35,33,902753,60.33
Tamil Nadu,3,CHENNAI SOUTH,6,1939,2023381,1044,51,41,39,1100005,54.36
Tamil Nadu,4,CHENNAI CENTRAL,6,1303,1350334,1036,48,31,29,731710,54.19
Tamil Nadu,5,SRIPERUMBUDUR,6,2437,2382578,978,41,31,29,1441382,60.5
Tamil Nadu,6,KANCHEEPURAM,6,1932,1749192,905,25,11,9,1260679,72.07
Tamil Nadu,7,ARAKKONAM,6,1699,1568140,923,34,26,23,1170057,74.61
Tamil Nadu,8,VELLORE,6,1568,1534347,979,45,31,29,1131837,73.77
Tamil Nadu,9,KRISHNAGIRI,6,1888,1627851,862,34,27,24,1167451,71.72
Tamil Nadu,10,DHARMAPURI,6,1805,1526799,846,35,24,21,1249271,81.82
Tamil Nadu,11,TIRUVANNAMALAI,6,1722,1536993,893,42,31,29,1148228,74.71
Tamil Nadu,12,ARANI,6,1760,1499659,852,40,29,26,1140690,76.06
Tamil Nadu,13,VILUPPURAM,6,1732,1503959,868,30,17,15,1159452,77.09
Tamil Nadu,14,KALLAKURICHI,6,1803,1569097,870,30,21,19,1251018,79.73
Tamil Nadu,15,SALEM,6,1766,1659269,940,39,25,23,1307379,78.79
Tamil Nadu,16,NAMAKKAL,6,1661,1452952,875,47,40,38,1147497,78.98
Tamil Nadu,17,ERODE,6,1688,1538960,912,42,31,29,1094366,71.11
Tamil Nadu,18,TIRUPPUR,6,1745,1608720,922,38,13,11,1143624,71.09
Tamil Nadu,19,NILGIRIS,6,1619,1428889,883,25,16,13,1020085,71.39
Tamil Nadu,20,COIMBATORE,6,2059,2106500,1023,53,37,34,1374127,65.23
Tamil Nadu,21,POLLACHI,6,1715,1597717,932,29,15,12,1128822,70.65
Tamil Nadu,22,DINDIGUL,6,1812,1608624,888,26,15,13,1150445,71.52
Tamil Nadu,23,KARUR,6,1670,1430499,857,62,54,52,1133069,79.21
Tamil Nadu,24,TIRUCHIRAPPALLI,6,1665,1554620,934,40,35,33,1056843,67.98
Tamil Nadu,25,PERAMBALUR,6,1665,1447197,869,46,23,21,1130376,78.11
Tamil Nadu,26,CUDDALORE,6,1509,1413170,936,27,19,16,1037351,73.41
Tamil Nadu,27,CHIDAMBARAM,6,1709,1520970,890,22,14,12,1170701,76.97
Tamil Nadu,28,MAYILADUTHURAI,6,1743,1546075,887,23,17,15,1088164,70.38
Tamil Nadu,29,NAGAPATTINAM,6,1551,1345708,868,13,9,7,973773,72.36
Tamil Nadu,30,THANJAVUR,6,1710,1502056,878,31,12,9,1031294,68.66
Tamil Nadu,31,SIVAGANGA,6,1873,1635655,873,28,20,17,1057025,64.62
Tamil Nadu,32,MADURAI,6,1573,1583250,1007,33,21,18,988216,62.42
Tamil Nadu,33,THENI,6,1788,1630328,912,37,25,23,1143159,70.12
Tamil Nadu,34,VIRUDHUNAGAR,6,1689,1505927,892,34,27,25,1064918,70.72
Tamil Nadu,35,RAMANATHAPURAM,6,1934,1619761,838,41,25,23,1111264,68.61
Tamil Nadu,36,THOOTHUKKUDI,6,1624,1461182,900,43,28,27,981034,67.14
Tamil Nadu,37,TENKASI,6,1743,1529130,877,29,15,12,1040936,68.07
Tamil Nadu,38,TIRUNELVELI,6,1810,1656265,915,38,23,21,1069236,64.56
Tamil Nadu,39,KANNIYAKUMARI,6,1698,1566048,922,27,22,20,1035739,66.14
Tamil Nadu,State-Total,State-Total,234,68321,62404947,913,1407,950,862,43769106,70.14
Tripura,1,Tripura West,30,1686,1469453,872,9,9,7,1212774,82.53
Tripura,2,Tripura East,30,1664,1401443,842,9,9,7,1136053,81.06
Tripura,State-Total,State-Total,60,3350,2870896,857,18,18,14,2348827,81.82
Uttar Pradesh,1,Saharanpur,5,1926,1857816,965,13,10,8,1230347,66.23
Uttar Pradesh,2,Kairana,5,1750,1727579,987,17,14,12,1080035,62.52
Uttar Pradesh,3,Muzaffarnagar,5,1698,1823717,1074,38,11,9,1078915,59.16
Uttar Pradesh,4,Bijnor,5,1837,1743213,949,23,11,8,1024843,58.79
Uttar Pradesh,5,Nagina,5,1788,1647310,921,12,6,4,1001499,60.8
Uttar Pradesh,6,Moradabad,5,2133,2062642,967,18,12,10,1283812,62.24
Uttar Pradesh,7,Rampur,5,1789,1733243,969,18,6,4,968791,55.89
Uttar Pradesh,8,Sambhal,5,1995,1899292,952,21,12,10,1195706,62.96
Uttar Pradesh,9,Amroha,5,1856,1720677,927,21,12,10,1111135,64.58
Uttar Pradesh,10,Meerut,5,2042,2005669,982,22,8,6,1183456,59.01
Uttar Pradesh,11,Baghpat,5,1737,1665208,959,16,7,5,934744,56.13
Uttar Pradesh,12,Ghaziabad,5,3092,2948720,954,35,14,12,1470740,49.88
Uttar Pradesh,13,Gautam Buddha Nagar,5,2717,2681482,987,34,15,12,1440060,53.7
Uttar Pradesh,14,Bulandshahr,5,2011,1867981,929,10,6,4,1056357,56.55
Uttar Pradesh,15,Aligarh,5,2121,2002868,944,21,14,12,1139422,56.89
Uttar Pradesh,16,Hathras,5,2190,1946138,889,18,10,7,1083446,55.67
Uttar Pradesh,17,Mathura,5,2128,1939130,911,16,15,12,957463,49.38
Uttar Pradesh,18,Agra,5,2125,2075821,977,11,11,9,1125376,54.21
Uttar Pradesh,19,Fatehpur Sikri,5,1935,1807314,934,19,9,7,1034638,57.25
Uttar Pradesh,20,Firozabad,5,2053,1896052,924,23,7,5,1108735,58.48
Uttar Pradesh,21,Mainpuri,5,2098,1798051,857,12,8,6,1056192,58.74
Uttar Pradesh,22,Etah,5,1917,1703935,889,14,10,8,1011620,59.37
Uttar Pradesh,23,Badaun,5,2117,2010304,950,16,11,9,1093550,54.4
Uttar Pradesh,24,Aonla,5,2026,1893622,935,20,9,7,1090062,57.56
Uttar Pradesh,25,Bareilly,5,1959,1926167,983,28,13,11,1120305,58.16
Uttar Pradesh,26,Pilibhit,5,1924,1833961,953,16,10,8,1161235,63.32
Uttar Pradesh,27,Shahjahanpur,6,2481,2333143,940,21,10,8,1248747,53.52
Uttar Pradesh,28,Kheri,5,1848,1871224,1013,12,11,9,1213543,64.85
Uttar Pradesh,29,Dhaurahra,5,1875,1719979,917,16,12,9,1112068,64.66
Uttar Pradesh,30,Sitapur,5,2018,1760367,872,17,8,6,1102725,62.64
Uttar Pradesh,31,Hardoi,5,2085,1911779,917,13,12,10,1102070,57.65
Uttar Pradesh,32,Misrikh,5,2074,1879798,906,11,9,7,1052758,56
Uttar Pradesh,33,Unnao,6,2498,2344843,939,18,8,6,1303551,55.59
Uttar Pradesh,34,Mohanlalganj,5,2262,2189866,968,22,11,9,1379358,62.99
Uttar Pradesh,35,Lucknow,5,1895,2173953,1147,41,10,8,1140222,52.45
Uttar Pradesh,36,Rae Bareli,5,1867,1788731,958,24,8,6,1039951,58.14
Uttar Pradesh,37,Amethi,5,1923,1798715,935,31,13,11,980883,54.53
Uttar Pradesh,38,Sultanpur,5,1991,1855602,932,26,9,7,1034131,55.73
Uttar Pradesh,39,Pratapgarh,5,1902,1836748,966,34,26,24,947386,51.58
Uttar Pradesh,40,Farrukhabad,5,1922,1751985,912,17,8,6,1035044,59.08
Uttar Pradesh,41,Etawah,5,2030,1834489,904,15,7,5,1034154,56.37
Uttar Pradesh,42,Kannauj,5,2307,1993616,864,28,15,13,1218971,61.14
Uttar Pradesh,43,Kanpur,5,1607,1664794,1036,24,11,9,887948,53.34
Uttar Pradesh,44,Akbarpur,5,1958,1875912,958,15,9,7,1087989,58
Uttar Pradesh,45,Jalaun,5,2262,2010583,889,11,6,4,1129208,56.16
Uttar Pradesh,46,Jhansi,5,2257,2162404,958,21,10,8,1381376,63.88
Uttar Pradesh,47,Hamirpur,5,1975,1841604,932,13,11,9,1116908,60.65
Uttar Pradesh,48,Banda,5,1894,1749034,923,24,12,9,1044901,59.74
Uttar Pradesh,49,Fatehpur,6,2143,1942597,906,24,15,13,1109359,57.11
Uttar Pradesh,50,Kaushambi,5,1996,1912536,958,19,10,8,1010109,52.82
Uttar Pradesh,51,Phulpur,5,2068,2071536,1002,32,15,13,1015032,49
Uttar Pradesh,52,Allahabad,5,1813,1828159,1008,29,14,12,948256,51.87
Uttar Pradesh,53,Barabanki,5,2138,1919282,898,18,13,11,1290963,67.26
Uttar Pradesh,54,Faizabad,5,2074,1929399,930,23,13,11,1141689,59.17
Uttar Pradesh,55,Ambedkar Nagar,5,1966,1913756,973,16,8,5,1180008,61.66
Uttar Pradesh,56,Baharaich,5,1885,1839281,976,13,10,8,1056593,57.45
Uttar Pradesh,57,Kaiserganj,5,2017,1906032,945,12,4,2,1062305,55.73
Uttar Pradesh,58,Shrawasti,5,2104,1980743,941,18,12,10,1046633,52.84
Uttar Pradesh,59,Gonda,5,1985,1843873,929,13,8,6,953302,51.7
Uttar Pradesh,60,Domariyaganj,5,2178,1962205,901,15,6,4,1022585,52.11
Uttar Pradesh,61,Basti,5,2151,1904843,886,12,9,7,1084777,56.95
Uttar Pradesh,62,Sant Kabir Nagar,5,2214,2076050,938,28,11,9,1092192,52.61
Uttar Pradesh,63,Maharajganj,5,2084,2007065,963,14,8,6,1210504,60.31
Uttar Pradesh,64,Gorakhpur,5,2038,2101746,1031,32,13,11,1154974,54.95
Uttar Pradesh,65,Kushi Nagar,5,1832,1876962,1025,18,9,7,1080710,57.58
Uttar Pradesh,66,Deoria,5,1894,1877227,991,19,7,5,1043740,55.6
Uttar Pradesh,67,Bansgaon,5,1930,1825711,946,11,8,6,945860,51.81
Uttar Pradesh,68,Lalganj,5,1886,1841110,976,11,7,4,1004152,54.54
Uttar Pradesh,69,Azamgarh,5,1915,1871946,978,29,9,6,1055114,56.36
Uttar Pradesh,70,Ghosi,5,2125,2090637,984,34,28,25,1150742,55.04
Uttar Pradesh,71,Salempur,5,1872,1784412,953,14,9,7,917622,51.42
Uttar Pradesh,72,Ballia,5,1996,1936995,970,22,13,11,1007726,52.03
Uttar Pradesh,73,Jaunpur,5,1955,1979004,1012,26,14,12,1104876,55.83
Uttar Pradesh,74,Machhlishahr,5,1944,1943763,1000,13,12,10,1062071,54.64
Uttar Pradesh,75,Ghazipur,5,2035,2088636,1026,25,10,8,1154838,55.29
Uttar Pradesh,76,Chandauli,5,1868,1850547,991,27,10,8,1119838,60.51
Uttar Pradesh,77,Varanasi,5,1909,1999861,1048,41,7,5,1131818,56.59
Uttar Pradesh,78,Bhadohi,5,2084,2039941,979,27,10,8,1085742,53.22
Uttar Pradesh,79,Mirzapur,5,2143,1909448,891,36,10,8,1105445,57.89
Uttar Pradesh,80,Robertsganj,5,1932,1780728,922,24,12,10,1011592,56.81
Uttar Pradesh,State-Total,State-Total,403,162069,154403112,953,1661,851,681,87997543,56.99
West Bengal,1,Coochbehar,7,2043,1970743,965,17,14,12,1624634,82.44
West Bengal,2,Alipurduars,7,1867,1778463,953,11,11,9,1422285,79.97
West Bengal,3,Jalpaiguri,7,1904,1889840,993,13,12,10,1585888,83.92
West Bengal,4,Darjeeling,7,1999,1776898,889,15,14,12,1331004,74.91
West Bengal,5,Raiganj,7,1730,1791574,1036,21,20,17,1369355,76.43
West Bengal,6,Balurghat,7,1569,1563941,997,13,13,11,1240016,79.29
West Bengal,7,Maldaha Uttar,7,1812,1864285,1029,17,15,12,1419041,76.12
West Bengal,8,Maldaha Dakshin,7,1759,1784407,1014,19,17,14,1371914,76.88
West Bengal,9,Jangipur,7,1851,1807556,977,22,14,11,1369909,75.79
West Bengal,10,Baharampur,7,1879,1789424,952,19,15,12,1387690,77.55
West Bengal,11,Murshidabad,7,1938,1890589,976,17,11,8,1541754,81.55
West Bengal,12,Krishnanagar,7,1841,1762599,957,11,11,9,1426981,80.96
West Bengal,13,Ranaghat,7,1983,1877599,947,8,7,5,1542292,82.14
West Bengal,14,Bangaon,7,1930,1841292,954,15,15,13,1493680,81.12
West Bengal,15,Barrackpur,7,1591,1512101,950,20,14,12,1142509,75.56
West Bengal,16,Dum dum,7,1792,1700882,949,15,14,11,1260841,74.13
West Bengal,17,Barasat,7,1991,1907604,958,14,12,10,1534562,80.44
West Bengal,18,Basirhat,7,1882,1805874,960,15,15,13,1526081,84.51
West Bengal,19,Jaynagar,7,1879,1845363,982,12,11,9,1484056,80.42
West Bengal,20,Mathurapur,7,1898,1818113,958,12,12,10,1497681,82.38
West Bengal,21,Diamond harbour,7,1961,1881552,959,12,12,10,1531287,81.38
West Bengal,22,Jadavpur,7,2120,2034251,960,18,16,14,1569002,77.13
West Bengal,23,Kolkata Dakshin,7,2078,1850115,890,22,17,15,1244540,67.27
West Bengal,24,Kolkata Uttar,7,1869,1505686,806,15,15,13,958556,63.66
West Bengal,25,Howrah,7,1895,1769973,934,15,14,12,1272558,71.9
West Bengal,26,Uluberia,7,1863,1742388,935,12,12,10,1394157,80.01
West Bengal,27,Sreerampur,7,2076,1928256,929,11,11,9,1477130,76.6
West Bengal,28,Hooghly,7,2048,1860103,908,12,12,10,1518072,81.61
West Bengal,29,Arambag,7,2078,1885001,907,10,10,8,1561188,82.82
West Bengal,30,Tamluk,7,1928,1853363,961,10,9,7,1578527,85.17
West Bengal,31,Kanthi,7,1876,1797658,958,9,9,7,1532295,85.24
West Bengal,32,Ghatal,7,2095,1942313,927,8,7,5,1602280,82.49
West Bengal,33,Jhargram,7,2018,1782435,883,14,13,11,1493701,83.8
West Bengal,34,Medinipur,7,1945,1813205,932,11,9,7,1485949,81.95
West Bengal,35,Purulia,7,1903,1825625,959,20,12,10,1436016,78.66
West Bengal,36,Bankura,7,1945,1785138,918,14,13,11,1450168,81.24
West Bengal,37,Bishnupur,7,1890,1758481,930,7,7,5,1514635,86.13
West Bengal,38,Bardhaman Purba,7,1942,1803240,929,7,7,5,1498938,83.12
West Bengal,39,Bardhaman-Durgapur,7,2039,1853336,909,10,8,6,1502830,81.09
West Bengal,40,Asansol,7,1901,1771875,932,7,7,5,1302426,73.51
West Bengal,41,Bolpur,7,1979,1842192,931,8,8,6,1529897,83.05
West Bengal,42,Birbhum,7,1943,1859447,957,14,12,10,1528210,82.19
West Bengal,State-Total,State-Total,294,80530,76124780,945,572,507,416,60554535,79.55
Chhattisgarh,1,SURGUJA,8,2197,1820880,829,13,10,8,1456077,79.97
Chhattisgarh,2,RAIGARH,8,2367,1840847,778,15,13,11,1453542,78.96
Chhattisgarh,3,JANJGIR-CHAMPA,8,2219,2058260,928,29,18,16,1394953,67.77
Chhattisgarh,4,KORBA,8,2023,1620051,801,34,27,25,1226934,75.73
Chhattisgarh,5,BILASPUR,8,2251,2103937,935,46,37,35,1365126,64.88
Chhattisgarh,6,RAJNANDGAON,8,2330,1869229,802,23,15,13,1447888,77.46
Chhattisgarh,7,DURG,9,2259,2092551,926,27,25,23,1543861,73.78
Chhattisgarh,8,RAIPUR,9,2385,2376030,996,45,38,36,1592011,67
Chhattisgarh,9,MAHASAMUND,8,2147,1763698,821,19,17,15,1326441,75.21
Chhattisgarh,10,BASTAR,8,1961,1473810,752,12,11,9,1008923,68.46
Chhattisgarh,11,KANKER,8,2090,1659374,794,10,9,7,1267551,76.39
Chhattisgarh,State-Total,State-Total,90,24229,20678667,853,273,220,198,15083307,72.94
Jharkhand,1,Rajmahal,6,2020,1705708,844,17,14,12,1218620,71.44
Jharkhand,2,Dumka,6,1891,1592192,842,22,19,17,1185151,74.44
Jharkhand,3,Godda,6,2347,2030444,865,29,19,17,1402941,69.1
Jharkhand,4,Chatra,5,1899,1692698,891,31,22,20,1089296,64.35
Jharkhand,5,Kodarma,6,2552,2207845,865,18,15,13,1373091,62.19
Jharkhand,6,Giridih,6,2160,1866763,864,25,16,13,1265546,67.79
Jharkhand,7,Dhanbad,6,2539,2290354,902,28,25,23,1431957,62.52
Jharkhand,8,Ranchi,6,2377,2202528,927,33,27,25,1452196,65.93
Jharkhand,9,Jamshedpur,6,1887,1871388,992,32,25,23,1279236,68.36
Jharkhand,10,Singhbhum,6,1715,1449471,845,21,14,12,1011759,69.8
Jharkhand,11,Khunti,6,1705,1329423,780,16,7,5,940247,70.73
Jharkhand,12,Lohardaga,5,1748,1448225,829,17,15,13,971662,67.09
Jharkhand,13,Palamu,6,2427,2248082,926,11,9,7,1392035,61.92
Jharkhand,14,Hazaribagh,5,2254,1942771,862,19,17,15,1265455,65.14
Jharkhand,State-Total,State-Total,81,29521,25877892,877,319,244,215,17279192,66.77
Uttarakhand,1,Tehri Garhwal,14,2462,1590526,646,11,11,8,866774,54.5
Uttarakhand,2,Garhwal,14,2357,1404233,596,13,13,11,746210,53.14
Uttarakhand,3,Almora,14,2256,1368432,607,8,7,5,675014,49.33
Uttarakhand,4,Nainital-Udhamsingh Nagar,14,2329,2026438,870,10,10,8,1271666,62.75
Uttarakhand,5,Haridwar,14,2319,2041472,880,21,14,12,1304517,63.9
Uttarakhand,State-Total,State-Total,70,11723,8431101,719,63,55,44,4864181,57.69
Telangana,1,Adilabad,7,2200,1652394,751,23,12,10,1238318,74.94
Telangana,2,Peddapalle,7,1850,1597892,864,63,42,39,1096672,68.63
Telangana,3,Karimnagar,7,2194,1798168,820,53,28,25,1314574,73.11
Telangana,4,Nizamabad,7,1808,1705591,943,42,29,27,1233995,72.35
Telangana,5,Zahirabad,7,1973,1642425,832,40,19,17,1236677,75.3
Telangana,6,Medak,7,2124,1828717,861,54,44,41,1387211,75.86
Telangana,7,Malkajgiri,7,3228,3780453,1171,114,22,20,1938462,51.28
Telangana,8,Secunderabad,7,1810,2120550,1172,57,45,43,1048604,49.45
Telangana,9,Hyderabad,7,1944,2217305,1141,57,30,28,1081878,48.79
Telangana,10,Chevella,7,2877,2939057,1022,64,43,41,1676124,57.03
Telangana,11,Mahbubnagar,7,1937,1683709,869,42,31,29,1227560,72.91
Telangana,12,Nagarkurnool,7,2057,1739310,846,34,19,16,1221686,70.24
Telangana,13,Nalgonda,7,2061,1726204,838,56,22,19,1297265,75.15
Telangana,14,Bhongir,7,2141,1809241,845,61,39,36,1401721,77.48
Telangana,15,Warangal,7,1900,1825492,961,58,42,39,1269265,69.53
Telangana,16,Mahabubabad,7,1809,1533858,848,30,23,21,1109534,72.34
Telangana,17,Khammam,7,1896,1631952,861,45,35,33,1252286,76.74
Telangana,State-Total,State-Total,119,35809,33232318,928,893,525,484,22031832,66.3
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,1,412,315745,766,15,12,10,202597,64.16
Andaman & Nicobar Islands,State-Total,State-Total,1,412,315745,766,15,12,10,202597,64.16
Chandigarh,1,Chandigarh,1,614,660552,1076,27,19,17,449383,68.03
Chandigarh,State-Total,State-Total,1,614,660552,1076,27,19,17,449383,68.03
Dadra & Nagar Haveli and Daman & Diu,1,Daman & Diu,2,145,134201,926,8,7,5,92448,68.89
Dadra & Nagar Haveli and Daman & Diu,2,Dadar & Nagar Haveli,1,314,283035,901,9,5,3,205625,72.65
Dadra & Nagar Haveli and Daman & Diu,State-Total,State-Total,3,459,417236,909,17,12,8,298073,71.44
NCT OF Delhi,1,Chandni Chowk,10,1531,1646467,1075,37,25,23,966352,58.69
NCT OF Delhi,2,North-East Delhi,10,2155,2464397,1144,48,28,26,1553679,63.04
NCT OF Delhi,3,East Delhi,10,1864,2121610,1138,39,20,18,1264411,59.6
NCT OF Delhi,4,New Delhi,10,1489,1526694,1025,37,17,15,847764,55.53
NCT OF Delhi,5,North-West Delhi,10,2455,2569274,1047,38,26,24,1490322,58.01
NCT OF Delhi,6,West Delhi,10,2283,2592498,1136,38,24,22,1524751,58.81
NCT OF Delhi,7,South Delhi,10,1864,2293698,1231,28,22,20,1296306,56.52
NCT OF Delhi,State-Total,State-Total,70,13641,15214638,1115,265,162,148,8943585,58.78
Lakshadweep,1,Lakshadweep,1,55,57953,1054,5,4,2,49247,84.98
Lakshadweep,State-Total,State-Total,1,55,57953,1054,5,4,2,49247,84.98
Puducherry,1,PUDUCHERRY,30,967,1024024,1059,34,26,24,811432,79.24
Puducherry,State-Total,State-Total,30,967,1024024,1059,34,26,24,811432,79.24
Jammu and Kashmir,1,BARAMULLA,18,2103,1744525,830,38,22,19,1034722,59.31
Jammu and Kashmir,2,SRINAGAR,18,2135,1748803,819,39,24,22,676408,38.68
Jammu and Kashmir,3,ANANTNAG-RAJOURI,18,2338,1849517,791,25,20,18,1026420,55.5
Jammu and Kashmir,4,UDHAMPUR,18,2637,1640846,622,15,12,10,1115491,67.98
Jammu and Kashmir,5,JAMMU,18,2416,1818657,753,27,22,20,1309825,72.02
Jammu and Kashmir,State-Total,State-Total,90,11629,8802348,757,144,100,89,5162866,58.65
Ladakh,1,Ladakh,2,578,190576,330,8,3,0,135662,71.19
Ladakh,State-Total,State-Total,2,578,190576,330,8,3,0,135662,71.19
Ladakh,Total,Total,4123,1051016,977965560,930,12444,8359,7190,646420869,66.1
